Date,Open,High,Low,Close,Volume
06/21/2023,"125.64","126.73","123.85","124.83","52,137,672"
06/20/2023,"124.97","127.25","124.50","125.78","56,930,121"
06/16/2023,"127.71","127.90","125.30","125.49","84,247,102"
06/15/2023,"125.21","127.69","124.32","127.11","60,458,473"
06/14/2023,"126.70","126.95","124.12","126.42","52,422,461"
06/13/2023,"128.12","128.41","125.18","126.66","50,564,793"
06/12/2023,"124.02","126.78","123.53","126.57","51,473,379"
06/09/2023,"124.08","125.80","123.19","123.43","51,396,020"
06/08/2023,"123.01","125.63","122.26","124.25","62,159,273"
06/07/2023,"127.01","127.37","120.63","121.23","95,663,281"
06/06/2023,"125.07","127.40","125.00","126.61","45,695,207"
06/05/2023,"123.36","125.80","123.03","125.30","47,950,129"
06/02/2023,"124.92","126.39","124.02","124.25","61,264,406"
06/01/2023,"120.69","123.49","119.93","122.77","54,375,129"
05/31/2023,"121.45","122.04","119.17","120.58","72,800,789"
05/30/2023,"122.37","122.92","119.86","121.66","64,314,809"
05/26/2023,"116.04","121.50","116.02","120.11","96,779,891"
05/25/2023,"116.63","116.87","114.31","115.00","66,496,680"
05/24/2023,"115.35","117.34","115.02","116.75","63,487,941"
05/23/2023,"114.27","117.14","113.78","114.99","67,576,258"
05/22/2023,"116.77","116.77","114.25","115.01","70,741,117"
05/19/2023,"118.16","118.31","115.70","116.25","55,056,312"
05/18/2023,"116.69","118.60","116.34","118.15","73,174,086"
05/17/2023,"114.89","115.83","114.22","115.50","65,655,180"
05/16/2023,"111.05","114.79","111.05","113.40","71,472,914"
05/15/2023,"111.15","112.29","109.25","111.20","53,011,152"
05/12/2023,"112.16","112.64","109.32","110.26","49,852,672"
05/11/2023,"111.03","113.28","110.49","112.18","74,924,844"
05/10/2023,"108.10","110.67","108.05","110.19","78,627,617"
05/09/2023,"105.48","106.79","105.16","106.62","44,089,359"
05/08/2023,"105.04","106.10","104.70","105.83","49,430,910"
05/05/2023,"104.27","105.76","103.55","105.66","56,951,738"
05/04/2023,"104.04","105.39","103.31","104.00","45,345,520"
05/03/2023,"103.74","105.96","103.28","103.65","65,051,930"
05/02/2023,"101.47","103.90","101.15","103.63","73,469,352"
05/01/2023,"104.95","105.23","101.82","102.05","74,728,094"
04/28/2023,"107.73","109.48","104.33","105.45","130,715,906"
04/27/2023,"108.16","110.86","106.80","109.82","149,961,203"
04/26/2023,"105.04","106.62","104.10","104.98","73,803,789"
04/25/2023,"104.91","105.45","102.45","102.57","65,026,820"
04/24/2023,"107.66","109.23","105.07","106.21","69,575,609"
04/21/2023,"106.10","108.15","105.08","106.96","86,774,195"
04/20/2023,"103.53","105.25","103.21","103.81","57,696,871"
04/19/2023,"101.58","105.12","101.39","104.30","58,398,887"
04/18/2023,"103.95","104.20","101.52","102.30","39,790,520"
04/17/2023,"103.16","103.73","101.59","102.74","39,919,461"
04/14/2023,"102.07","103.20","101.11","102.51","51,450,520"
04/13/2023,"98.95","102.57","98.71","102.40","67,925,133"
04/12/2023,"100.40","100.51","97.71","97.83","56,735,008"
04/11/2023,"100.80","101.00","99.01","99.92","60,417,848"
04/10/2023,"100.96","102.20","99.57","102.17","37,261,191"
04/06/2023,"100.75","102.38","99.80","102.06","43,808,020"
